Date,GDPC1,GDP U.S. Quarterly,GDP U.S. TTM
1947-03-31,2182.681,545.67025,
1947-06-30,2176.892,544.223,
1947-09-30,2172.432,543.108,
1947-12-31,2206.452,551.613,2184.61425
1948-03-31,2239.682,559.9205,2198.8644999999997
1948-06-30,2276.69,569.1725,2223.814
1948-09-30,2289.77,572.4425,2253.1485000000002
1948-12-31,2292.364,573.091,2274.6265
1949-03-31,2260.807,565.20175,2279.9077500000003
1949-06-30,2253.128,563.282,2274.01725
1949-09-30,2276.424,569.106,2270.68075
1949-12-31,2257.352,564.338,2261.92775
1950-03-31,2346.104,586.526,2283.252
1950-06-30,2417.682,604.4205,2324.3904999999995
1950-09-30,2511.127,627.78175,2383.06625
1950-12-31,2559.214,639.8035,2458.5317499999996
1951-03-31,2593.967,648.49175,2520.4975
1951-06-30,2638.898,659.7245,2575.8015
1951-09-30,2693.259,673.31475,2621.3345
1951-12-31,2699.156,674.789,2656.3199999999997
1952-03-31,2727.954,681.9885,2689.81675
1952-06-30,2733.8,683.45,2713.54225
1952-09-30,2753.517,688.37925,2728.60675
1952-12-31,2843.941,710.98525,2764.8030000000003
1953-03-31,2896.811,724.20275,2807.01725
1953-06-30,2919.206,729.8015,2853.36875
1953-09-30,2902.785,725.69625,2890.68575
1953-12-31,2858.845,714.71125,2894.4117499999998
1954-03-31,2845.192,711.298,2881.507
1954-06-30,2848.305,712.07625,2863.78175
1954-09-30,2880.482,720.1205,2858.206
1954-12-31,2936.852,734.213,2877.70775
1955-03-31,3020.746,755.1865,2921.5962499999996
1955-06-30,3069.91,767.4775,2976.9974999999995
1955-09-30,3111.379,777.84475,3034.7217499999997
1955-12-31,3130.068,782.517,3083.02575
1956-03-31,3117.922,779.4805,3107.31975
1956-06-30,3143.694,785.9235,3125.7657499999996
1956-09-30,3140.874,785.2185,3133.1395
1956-12-31,3192.57,798.1425,3148.7650000000003
1957-03-31,3213.011,803.25275,3172.5372500000003
1957-06-30,3205.97,801.4925,3188.1062500000003
1957-09-30,3237.386,809.3465,3212.2342499999995
1957-12-31,3203.894,800.9735,3215.0652499999997
1958-03-31,3120.724,780.181,3191.9935
1958-06-30,3141.224,785.306,3175.807
1958-09-30,3213.884,803.471,3169.9315
1958-12-31,3289.032,822.258,3191.2160000000003
1959-03-31,3352.129,838.03225,3249.06725
1959-06-30,3427.667,856.91675,3320.678
1959-09-30,3430.057,857.51425,3374.72125
1959-12-31,3439.832,859.958,3412.42125
1960-03-31,3517.181,879.29525,3453.6842500000002
1960-06-30,3498.246,874.5615,3471.3289999999997
1960-09-30,3515.385,878.84625,3492.661
1960-12-31,3470.278,867.5695,3500.2725
1961-03-31,3493.703,873.42575,3494.403
1961-06-30,3553.021,888.25525,3508.09675
1961-09-30,3621.252,905.313,3534.5635
1961-12-31,3692.289,923.07225,3590.06625
1962-03-31,3758.147,939.53675,3656.17725
1962-06-30,3792.149,948.03725,3715.95925
1962-09-30,3838.776,959.694,3770.3402499999997
1962-12-31,3851.421,962.85525,3810.12325
1963-03-31,3893.482,973.3705,3843.957
1963-06-30,3937.183,984.29575,3880.2155
1963-09-30,4023.755,1005.93875,3926.46025
1963-12-31,4050.147,1012.53675,3976.14175
1964-03-31,4135.553,1033.88825,4036.6594999999998
1964-06-30,4180.592,1045.148,4097.51175
1964-09-30,4245.918,1061.4795,4153.0525
1964-12-31,4259.046,1064.7615,4205.27725
1965-03-31,4362.111,1090.52775,4261.91675
1965-06-30,4417.225,1104.30625,4321.075
1965-09-30,4515.427,1128.85675,4388.45225
1965-12-31,4619.458,1154.8645,4478.555249999999
1966-03-31,4731.888,1182.972,4570.9995
1966-06-30,4748.046,1187.0115,4653.70475
1966-09-30,4788.254,1197.0635,4721.9115
1966-12-31,4827.537,1206.88425,4773.931250000001
1967-03-31,4870.299,1217.57475,4808.534
1967-06-30,4873.287,1218.32175,4839.84425
1967-09-30,4919.392,1229.848,4872.62875
1967-12-31,4956.477,1239.11925,4904.8637499999995
1968-03-31,5057.553,1264.38825,4951.67725
1968-06-30,5142.033,1285.50825,5018.86375
1968-09-30,5181.859,1295.46475,5084.4805
1968-12-31,5202.212,1300.553,5145.914250000001
