Date,MEDLISPRI47093
2016-07-31,219900.0
2016-08-31,219900.0
2016-09-30,219900.0
2016-10-31,219900.0
2016-11-30,217800.0
2016-12-31,219900.0
2017-01-31,222180.0
2017-02-28,229450.0
2017-03-31,236061.0
2017-04-30,249900.0
2017-05-31,250000.0
2017-06-30,250450.0
2017-07-31,249900.0
2017-08-31,250000.0
2017-09-30,259900.0
2017-10-31,259800.0
2017-11-30,259900.0
2017-12-31,259900.0
2018-01-31,262375.0
2018-02-28,264950.0
2018-03-31,275000.0
2018-04-30,284850.0
2018-05-31,289800.0
2018-06-30,283900.0
2018-07-31,278950.0
2018-08-31,274900.0
2018-09-30,270000.0
2018-10-31,275000.0
2018-11-30,270950.0
2018-12-31,274900.0
2019-01-31,277675.0
2019-02-28,280334.0
2019-03-31,291371.0
2019-04-30,307687.0
2019-05-31,312950.0
2019-06-30,317400.0
2019-07-31,325969.0
2019-08-31,319564.0
2019-09-30,308503.0
2019-10-31,297450.0
2019-11-30,298950.0
2019-12-31,298900.0
2020-01-31,288950.0
2020-02-29,299900.0
2020-03-31,312450.0
2020-04-30,310975.0
2020-05-31,324900.0
2020-06-30,332550.0
2020-07-31,344950.0
2020-08-31,340675.0
2020-09-30,338564.0
2020-10-31,334450.0
2020-11-30,332450.0
2020-12-31,320450.0
2021-01-31,331700.0
2021-02-28,324888.0
2021-03-31,318100.0
2021-04-30,337950.0
2021-05-31,335000.0
2021-06-30,332450.0
2021-07-31,324900.0
2021-08-31,328589.0
2021-09-30,319675.0
2021-10-31,317000.0
2021-11-30,327450.0
2021-12-31,327450.0
2022-01-31,347000.0
2022-02-28,364900.0
2022-03-31,369950.0
2022-04-30,379900.0
2022-05-31,385000.0
2022-06-30,396450.0
2022-07-31,399900.0
2022-08-31,399950.0
2022-09-30,409900.0
2022-10-31,417932.0
2022-11-30,414500.0
2022-12-31,422916.0
2023-01-31,436925.0
2023-02-28,461200.0
2023-03-31,465000.0
2023-04-30,469900.0
2023-05-31,464900.0
2023-06-30,450000.0
2023-07-31,450000.0
2023-08-31,469450.0
2023-09-30,450000.0
2023-10-31,464925.0
2023-11-30,457000.0
2023-12-31,449000.0
2024-01-31,449450.0
2024-02-29,447450.0
2024-03-31,429950.0
2024-04-30,449000.0
2024-05-31,459925.0
2024-06-30,450000.0
2024-07-31,449450.0
2024-08-31,449900.0
2024-09-30,444400.0
2024-10-31,442450.0
2024-11-30,435785.0
2024-12-31,428000.0
2025-01-31,424955.0
2025-02-28,425000.0
2025-03-31,429900.0
2025-04-30,429900.0
2025-05-31,429900.0
2025-06-30,434925.0
2025-07-31,439900.0
2025-08-31,425000.0
2025-09-30,425000.0
2025-10-31,429900.0
2025-11-30,429900.0
2025-12-31,425000.0
2026-01-31,429900.0
