Date,MEDLISPRIUS
2016-07-31,259000.0
2016-08-31,255267.0
2016-09-30,255000.0
2016-10-31,255000.0
2016-11-30,252991.0
2016-12-31,249900.0
2017-01-31,249900.0
2017-02-28,255400.0
2017-03-31,264450.0
2017-04-30,270000.0
2017-05-31,277477.0
2017-06-30,279000.0
2017-07-31,279000.0
2017-08-31,275000.0
2017-09-30,275000.0
2017-10-31,275000.0
2017-11-30,274445.0
2017-12-31,269900.0
2018-01-31,269739.0
2018-02-28,275450.0
2018-03-31,285000.0
2018-04-30,294950.0
2018-05-31,299450.0
2018-06-30,299900.0
2018-07-31,299450.0
2018-08-31,298500.0
2018-09-30,297500.0
2018-10-31,295250.0
2018-11-30,295000.0
2018-12-31,289900.0
2019-01-31,289450.0
2019-02-28,296000.0
2019-03-31,305814.0
2019-04-30,314950.0
2019-05-31,319950.0
2019-06-30,320000.0
2019-07-31,319450.0
2019-08-31,315791.0
2019-09-30,312477.0
2019-10-31,309945.0
2019-11-30,305000.0
2019-12-31,299900.0
2020-01-31,299250.0
2020-02-29,305490.0
2020-03-31,319000.0
2020-04-30,319250.0
2020-05-31,329000.0
2020-06-30,339450.0
2020-07-31,345000.0
2020-08-31,349000.0
2020-09-30,349000.0
2020-10-31,349000.0
2020-11-30,342000.0
2020-12-31,336250.0
2021-01-31,335000.0
2021-02-28,343500.0
2021-03-31,352450.0
2021-04-30,369450.0
2021-05-31,376414.0
2021-06-30,379900.0
2021-07-31,379000.0
2021-08-31,375000.0
2021-09-30,375000.0
2021-10-31,375000.0
2021-11-30,374131.0
2021-12-31,369158.0
2022-01-31,369900.0
2022-02-28,384500.0
2022-03-31,399450.0
2022-04-30,419500.0
2022-05-31,437450.0
2022-06-30,449000.0
2022-07-31,443900.0
2022-08-31,432588.0
2022-09-30,427750.0
2022-10-31,425000.0
2022-11-30,416000.0
2022-12-31,405000.0
2023-01-31,403706.0
2023-02-28,414375.0
2023-03-31,424000.0
2023-04-30,430000.0
2023-05-31,441007.0
2023-06-30,445000.0
2023-07-31,440000.0
2023-08-31,435495.0
2023-09-30,429503.0
2023-10-31,425000.0
2023-11-30,420000.0
2023-12-31,410000.0
2024-01-31,409500.0
2024-02-29,415500.0
2024-03-31,424900.0
2024-04-30,429950.0
2024-05-31,439500.0
2024-06-30,439900.0
2024-07-31,437250.0
2024-08-31,429990.0
2024-09-30,425000.0
2024-10-31,422500.0
2024-11-30,416633.0
2024-12-31,402501.0
2025-01-31,400500.0
2025-02-28,412000.0
2025-03-31,424900.0
2025-04-30,431250.0
2025-05-31,440000.0
2025-06-30,440950.0
2025-07-31,439450.0
2025-08-31,429990.0
2025-09-30,425000.0
2025-10-31,424200.0
2025-11-30,415000.0
2025-12-31,399950.0
2026-01-31,399900.0
