Date,POPTHM
1959-01-31,175818.0
1959-02-28,176044.0
1959-03-31,176274.0
1959-04-30,176503.0
1959-05-31,176723.0
1959-06-30,176954.0
1959-07-31,177208.0
1959-08-31,177479.0
1959-09-30,177755.0
1959-10-31,178026.0
1959-11-30,178273.0
1959-12-31,178504.0
1960-01-31,178925.0
1960-02-29,179326.0
1960-03-31,179707.0
1960-04-30,180067.0
1960-05-31,180408.0
1960-06-30,180728.0
1960-07-31,181028.0
1960-08-31,181308.0
1960-09-30,181567.0
1960-10-31,181807.0
1960-11-30,182026.0
1960-12-31,182225.0
1961-01-31,182404.0
1961-02-28,182631.0
1961-03-31,182867.0
1961-04-30,183105.0
1961-05-31,183335.0
1961-06-30,183572.0
1961-07-31,183825.0
1961-08-31,184101.0
1961-09-30,184384.0
1961-10-31,184654.0
1961-11-30,184900.0
1961-12-31,185129.0
1962-01-31,185347.0
1962-02-28,185551.0
1962-03-31,185762.0
1962-04-30,185981.0
1962-05-31,186201.0
1962-06-30,186426.0
1962-07-31,186664.0
1962-08-31,186924.0
1962-09-30,187191.0
1962-10-31,187449.0
1962-11-30,187685.0
1962-12-31,187905.0
1963-01-31,188113.0
1963-02-28,188300.0
1963-03-31,188484.0
1963-04-30,188685.0
1963-05-31,188904.0
1963-06-30,189130.0
1963-07-31,189369.0
1963-08-31,189629.0
1963-09-30,189895.0
1963-10-31,190147.0
1963-11-30,190369.0
1963-12-31,190570.0
1964-01-31,190763.0
1964-02-29,190953.0
1964-03-31,191146.0
1964-04-30,191346.0
1964-05-31,191557.0
1964-06-30,191778.0
1964-07-31,192010.0
1964-08-31,192254.0
1964-09-30,192504.0
1964-10-31,192739.0
1964-11-30,192943.0
1964-12-31,193131.0
1965-01-31,193308.0
1965-02-28,193467.0
1965-03-31,193625.0
1965-04-30,193799.0
1965-05-31,193988.0
1965-06-30,194195.0
1965-07-31,194416.0
1965-08-31,194645.0
1965-09-30,194879.0
1965-10-31,195096.0
1965-11-30,195284.0
1965-12-31,195456.0
1966-01-31,195614.0
1966-02-28,195760.0
1966-03-31,195915.0
1966-04-30,196089.0
1966-05-31,196275.0
1966-06-30,196466.0
1966-07-31,196661.0
1966-08-31,196873.0
1966-09-30,197096.0
1966-10-31,197303.0
1966-11-30,197485.0
1966-12-31,197654.0
1967-01-31,197814.0
1967-02-28,197965.0
1967-03-31,198122.0
1967-04-30,198287.0
1967-05-31,198452.0
1967-06-30,198627.0
1967-07-31,198812.0
1967-08-31,199012.0
1967-09-30,199212.0
1967-10-31,199405.0
1967-11-30,199578.0
1967-12-31,199733.0
1968-01-31,199864.0
1968-02-29,199988.0
1968-03-31,200132.0
1968-04-30,200285.0
1968-05-31,200449.0
1968-06-30,200621.0
1968-07-31,200802.0
1968-08-31,200997.0
1968-09-30,201193.0
1968-10-31,201378.0
1968-11-30,201544.0
1968-12-31,201691.0
1969-01-31,201821.0
1969-02-28,201952.0
1969-03-31,202092.0
1969-04-30,202246.0
1969-05-31,202419.0
1969-06-30,202592.0
1969-07-31,202777.0
1969-08-31,202984.0
1969-09-30,203196.0
1969-10-31,203401.0
1969-11-30,203588.0
1969-12-31,203762.0
1970-01-31,203929.0
1970-02-28,204082.0
1970-03-31,204246.0
1970-04-30,204504.0
1970-05-31,204719.0
1970-06-30,204941.0
1970-07-31,205174.0
1970-08-31,205418.0
1970-09-30,205664.0
1970-10-31,205906.0
1970-11-30,206131.0
1970-12-31,206352.0
1971-01-31,206567.0
1971-02-28,206762.0
1971-03-31,206960.0
1971-04-30,207163.0
1971-05-31,207361.0
1971-06-30,207562.0
1971-07-31,207771.0
1971-08-31,207998.0
