Date,REALGDPALL47093,GDP Knox County TTM
2001-12-31,18388555.0,18388555.0
2002-12-31,19153142.0,19153142.0
2003-12-31,20148729.0,20148729.0
2004-12-31,21522239.0,21522239.0
2005-12-31,22246365.0,22246365.0
2006-12-31,22815433.0,22815433.0
2007-12-31,23090027.0,23090027.0
2008-12-31,23393155.0,23393155.0
2009-12-31,22243557.0,22243557.0
2010-12-31,22080356.0,22080356.0
2011-12-31,22619100.0,22619100.0
2012-12-31,23427394.0,23427394.0
2013-12-31,23695492.0,23695492.0
2014-12-31,24114197.0,24114197.0
2015-12-31,24846897.0,24846897.0
2016-12-31,25918934.0,25918934.0
2017-12-31,26669279.0,26669279.0
2018-12-31,27559231.0,27559231.0
2019-12-31,27663204.0,27663204.0
2020-12-31,28129232.0,28129232.0
2021-12-31,30713426.0,30713426.0
2022-12-31,31851917.0,31851917.0
2023-12-31,33491110.0,33491110.0
2024-12-31,34553606.0,34553606.0
