Date,TNKNOX5POP
1970-12-31,276.293
1971-12-31,284.6
1972-12-31,289.1
1973-12-31,290.0
1974-12-31,293.0
1975-12-31,299.6
1976-12-31,305.4
1977-12-31,306.9
1978-12-31,310.9
1979-12-31,316.6
1980-12-31,319.694
1981-12-31,324.615
1982-12-31,328.68
1983-12-31,328.524
1984-12-31,326.466
1985-12-31,326.408
1986-12-31,323.824
1987-12-31,325.423
1988-12-31,329.923
1989-12-31,333.737
1990-12-31,336.707
1991-12-31,342.864
1992-12-31,349.832
1993-12-31,356.001
1994-12-31,362.738
1995-12-31,369.171
1996-12-31,373.621
1997-12-31,376.767
1998-12-31,378.319
1999-12-31,380.01
2000-12-31,382.965
2001-12-31,387.71
2002-12-31,392.829
2003-12-31,399.155
2004-12-31,403.311
2005-12-31,409.324
2006-12-31,416.888
2007-12-31,424.257
2008-12-31,430.444
2009-12-31,434.617
2010-12-31,432.952
2011-12-31,436.822
2012-12-31,440.883
2013-12-31,444.453
2014-12-31,448.112
2015-12-31,451.551
2016-12-31,456.41
2017-12-31,461.977
2018-12-31,466.787
2019-12-31,470.137
2020-12-31,480.53
2021-12-31,486.005
2022-12-31,495.882
2023-12-31,501.576
2024-12-31,506.748
