Date,ATNHPIUS47093A
1975-01-01,32.82
1976-01-01,35.56
1977-01-01,45.86
1978-01-01,43.94
1979-01-01,49.46
1980-01-01,53.0
1981-01-01,56.23
1982-01-01,58.93
1983-01-01,58.24
1984-01-01,59.14
1985-01-01,60.31
1986-01-01,62.76
1987-01-01,66.31
1988-01-01,68.97
1989-01-01,71.5
1990-01-01,73.16
1991-01-01,74.75
1992-01-01,76.99
1993-01-01,79.72
1994-01-01,82.64
1995-01-01,86.04
1996-01-01,88.98
1997-01-01,91.61
1998-01-01,94.7
1999-01-01,96.57
2000-01-01,100.0
2001-01-01,104.59
2002-01-01,107.74
2003-01-01,111.15
2004-01-01,117.41
2005-01-01,126.95
2006-01-01,136.97
2007-01-01,143.35
2008-01-01,143.71
2009-01-01,141.51
2010-01-01,138.03
2011-01-01,135.0
2012-01-01,134.72
2013-01-01,136.57
2014-01-01,140.83
2015-01-01,144.37
2016-01-01,150.36
2017-01-01,158.09
2018-01-01,169.43
2019-01-01,179.27
2020-01-01,189.92
2021-01-01,220.66
2022-01-01,271.5
2023-01-01,306.86
2024-01-01,326.66
