Date,MEDLISPRI47093
2016-07-01,219900.0
2016-08-01,219900.0
2016-09-01,219900.0
2016-10-01,219900.0
2016-11-01,217800.0
2016-12-01,219900.0
2017-01-01,222180.0
2017-02-01,229450.0
2017-03-01,236061.0
2017-04-01,249900.0
2017-05-01,250000.0
2017-06-01,250450.0
2017-07-01,249900.0
2017-08-01,250000.0
2017-09-01,259900.0
2017-10-01,259800.0
2017-11-01,259900.0
2017-12-01,259900.0
2018-01-01,262375.0
2018-02-01,264950.0
2018-03-01,275000.0
2018-04-01,284850.0
2018-05-01,289800.0
2018-06-01,283900.0
2018-07-01,278950.0
2018-08-01,274900.0
2018-09-01,270000.0
2018-10-01,275000.0
2018-11-01,270950.0
2018-12-01,274900.0
2019-01-01,277675.0
2019-02-01,280334.0
2019-03-01,291371.0
2019-04-01,307687.0
2019-05-01,312950.0
2019-06-01,317400.0
2019-07-01,325969.0
2019-08-01,319564.0
2019-09-01,308503.0
2019-10-01,297450.0
2019-11-01,298950.0
2019-12-01,298900.0
2020-01-01,288950.0
2020-02-01,299900.0
2020-03-01,312450.0
2020-04-01,310975.0
2020-05-01,324900.0
2020-06-01,332550.0
2020-07-01,344950.0
2020-08-01,340675.0
2020-09-01,338564.0
2020-10-01,334450.0
2020-11-01,332450.0
2020-12-01,320450.0
2021-01-01,331700.0
2021-02-01,324888.0
2021-03-01,318100.0
2021-04-01,337950.0
2021-05-01,335000.0
2021-06-01,332450.0
2021-07-01,324900.0
2021-08-01,328589.0
2021-09-01,319675.0
2021-10-01,317000.0
2021-11-01,327450.0
2021-12-01,327450.0
2022-01-01,347000.0
2022-02-01,364900.0
2022-03-01,369950.0
2022-04-01,379900.0
2022-05-01,385000.0
2022-06-01,396450.0
2022-07-01,399900.0
2022-08-01,399950.0
2022-09-01,409900.0
2022-10-01,417932.0
2022-11-01,414500.0
2022-12-01,422916.0
2023-01-01,436925.0
2023-02-01,461200.0
2023-03-01,465000.0
2023-04-01,469900.0
2023-05-01,464900.0
2023-06-01,450000.0
2023-07-01,450000.0
2023-08-01,469450.0
2023-09-01,450000.0
2023-10-01,464925.0
2023-11-01,457000.0
2023-12-01,449000.0
2024-01-01,449450.0
2024-02-01,447450.0
2024-03-01,429950.0
2024-04-01,449000.0
2024-05-01,459925.0
2024-06-01,450000.0
2024-07-01,449450.0
2024-08-01,449900.0
2024-09-01,444400.0
2024-10-01,442450.0
2024-11-01,435785.0
2024-12-01,428000.0
2025-01-01,424955.0
2025-02-01,425000.0
2025-03-01,429900.0
2025-04-01,429900.0
2025-05-01,429900.0
2025-06-01,434925.0
2025-07-01,439900.0
2025-08-01,425000.0
2025-09-01,425000.0
2025-10-01,429900.0
2025-11-01,429900.0
2025-12-01,425000.0
2026-01-01,429900.0
