Date,MEDLISPRIUS
2016-07-01,259000.0
2016-08-01,255267.0
2016-09-01,255000.0
2016-10-01,255000.0
2016-11-01,252991.0
2016-12-01,249900.0
2017-01-01,249900.0
2017-02-01,255400.0
2017-03-01,264450.0
2017-04-01,270000.0
2017-05-01,277477.0
2017-06-01,279000.0
2017-07-01,279000.0
2017-08-01,275000.0
2017-09-01,275000.0
2017-10-01,275000.0
2017-11-01,274445.0
2017-12-01,269900.0
2018-01-01,269739.0
2018-02-01,275450.0
2018-03-01,285000.0
2018-04-01,294950.0
2018-05-01,299450.0
2018-06-01,299900.0
2018-07-01,299450.0
2018-08-01,298500.0
2018-09-01,297500.0
2018-10-01,295250.0
2018-11-01,295000.0
2018-12-01,289900.0
2019-01-01,289450.0
2019-02-01,296000.0
2019-03-01,305814.0
2019-04-01,314950.0
2019-05-01,319950.0
2019-06-01,320000.0
2019-07-01,319450.0
2019-08-01,315791.0
2019-09-01,312477.0
2019-10-01,309945.0
2019-11-01,305000.0
2019-12-01,299900.0
2020-01-01,299250.0
2020-02-01,305490.0
2020-03-01,319000.0
2020-04-01,319250.0
2020-05-01,329000.0
2020-06-01,339450.0
2020-07-01,345000.0
2020-08-01,349000.0
2020-09-01,349000.0
2020-10-01,349000.0
2020-11-01,342000.0
2020-12-01,336250.0
2021-01-01,335000.0
2021-02-01,343500.0
2021-03-01,352450.0
2021-04-01,369450.0
2021-05-01,376414.0
2021-06-01,379900.0
2021-07-01,379000.0
2021-08-01,375000.0
2021-09-01,375000.0
2021-10-01,375000.0
2021-11-01,374131.0
2021-12-01,369158.0
2022-01-01,369900.0
2022-02-01,384500.0
2022-03-01,399450.0
2022-04-01,419500.0
2022-05-01,437450.0
2022-06-01,449000.0
2022-07-01,443900.0
2022-08-01,432588.0
2022-09-01,427750.0
2022-10-01,425000.0
2022-11-01,416000.0
2022-12-01,405000.0
2023-01-01,403706.0
2023-02-01,414375.0
2023-03-01,424000.0
2023-04-01,430000.0
2023-05-01,441007.0
2023-06-01,445000.0
2023-07-01,440000.0
2023-08-01,435495.0
2023-09-01,429503.0
2023-10-01,425000.0
2023-11-01,420000.0
2023-12-01,410000.0
2024-01-01,409500.0
2024-02-01,415500.0
2024-03-01,424900.0
2024-04-01,429950.0
2024-05-01,439500.0
2024-06-01,439900.0
2024-07-01,437250.0
2024-08-01,429990.0
2024-09-01,425000.0
2024-10-01,422500.0
2024-11-01,416633.0
2024-12-01,402501.0
2025-01-01,400500.0
2025-02-01,412000.0
2025-03-01,424900.0
2025-04-01,431250.0
2025-05-01,440000.0
2025-06-01,440950.0
2025-07-01,439450.0
2025-08-01,429990.0
2025-09-01,425000.0
2025-10-01,424200.0
2025-11-01,415000.0
2025-12-01,399950.0
2026-01-01,399900.0
