Date,REALGDPALL47093
2001-01-01,18388555.0
2002-01-01,19153142.0
2003-01-01,20148729.0
2004-01-01,21522239.0
2005-01-01,22246365.0
2006-01-01,22815433.0
2007-01-01,23090027.0
2008-01-01,23393155.0
2009-01-01,22243557.0
2010-01-01,22080356.0
2011-01-01,22619100.0
2012-01-01,23427394.0
2013-01-01,23695492.0
2014-01-01,24114197.0
2015-01-01,24846897.0
2016-01-01,25918934.0
2017-01-01,26669279.0
2018-01-01,27559231.0
2019-01-01,27663204.0
2020-01-01,28129232.0
2021-01-01,30713426.0
2022-01-01,31851917.0
2023-01-01,33491110.0
2024-01-01,34553606.0
